"file","place","location","pattern","sentence","verdict","notes","correct"
"blog/best-wings-tampa-bay.md","Petersburg","2017 Central Ave","located_at","Petersburg)

Located at 2017 Central Ave, Jazzy's does something magical with their smoker.","WRONG_ADDRESS","Jazzy's BBQ is in Tampa at 5703 W Waters Ave, not St. Petersburg at 2017 Central Ave.","5703 W Waters Ave, Tampa, FL"
"blog/best-wings-tampa-bay.md","Multiple Locations","3716 Henderson Blvd","at_address","Dunedin's small-town vibe makes this feel like a discovery rather than a tourist trap.

### Ciccio Cali (Multiple Locations)

The South Tampa location at 3716 Henderson Blvd serves wings with an Italian twist.","WRONG_ADDRESS","Cali South Tampa is at 217 S Dale Mabry Hwy, not 3716 Henderson Blvd.","217 S Dale Mabry Hwy, Tampa, FL 33609"
"blog/best-wings-tampa-bay.md","The Brandon","11110 Causeway Blvd","at_address","The mild sauce is actually flavorful (not just ranch), and the hot sauce has legitimate heat without sacrificing flavor.


## Value Champions

### Miller's Ale House (Multiple Locations)

The Brandon location at 11110 Causeway Blvd offers consistent quality and unbeatable happy hour prices.","WRONG_ADDRESS","Miller's Ale House Brandon exists and is open, but at different address.","1817 W Brandon Blvd, Brandon, FL 33511"
"blog/best-wings-tampa-bay.md","The Westchase","11525 Countryway Blvd","at_address","Perfect for business dinners or impressing out-of-town visitors who think Tampa only does chain restaurants.


## Game Day Headquarters

### Hattrick's Tavern (Multiple Locations)

The Westchase location at 11525 Countryway Blvd transforms into Lightning/Bucs central during games.","DOES_NOT_EXIST","Hattrick's Tavern only at 107 S Franklin St downtown Tampa. No Westchase location at 11525 Countryway Blvd exists.",""
"blog/busch-gardens-tampa-locals-guide.md","Take","Busch Boulevard","on_road","Smart Local Moves:
- Pack snacks and drinks (allowed in soft-sided bags)
- Eat a substantial breakfast before arriving
- Take advantage of the hand stamp for lunch runs to nearby restaurants on Busch Boulevard
- The Zambia Smokehouse has the best food-to-price ratio inside the park


## Comparing to Orlando Parks

Universal Studios Orlando sits about 75 minutes from central Tampa, Disney World abo","SKIP","Not a business name - text fragment from 'Take advantage of hand stamp' sentence",""
"blog/dali-museum-tampa-bay-culture.md","Chihuly Collection

Right","400 Beach Drive NE","at_address","Their changing exhibitions often feature major traveling shows that don't make it to other Florida cities.

### Chihuly Collection

Right next to the MFA at 400 Beach Drive NE, the Chihuly Collection showcases the glass artist's stunning works in a purpose-built space.","WRONG_ADDRESS","Moved from 400 Beach Drive NE to 720 Central Ave in October 2020. Still open.","720 Central Ave, St. Petersburg, FL 33701"
"blog/dali-museum-tampa-bay-culture.md","Green Bench Brewing","1133 Baum Avenue","at_address","Green Bench Brewing at 1133 Baum Avenue N serves excellent craft beer and elevated pub food.","VERIFIED","Green Bench Brewing confirmed at 1133 Baum Ave N, St. Petersburg. Open with current hours.",""
"blog/dali-museum-tampa-bay-culture.md","Tampa Bay History Center

Located","801 Old Water Street","at_address","It's free and often showcases emerging artists before they hit the major galleries.

### Tampa Bay History Center

Located at 801 Old Water Street in Tampa, this isn't just history — their temporary exhibitions often focus on cultural topics.","WRONG_ADDRESS","Address is 801 Water Street, not 801 Old Water Street.","801 Water Street, Tampa, FL 33602"
"blog/dali-museum-tampa-bay-culture.md","Tampa Bay History Center","801 Old Water Street","located_at","It's free and often showcases emerging artists before they hit the major galleries.

### Tampa Bay History Center

Located at 801 Old Water Street in Tampa, this isn't just history — their temporary exhibitions often focus on cultural topics.","WRONG_ADDRESS","Address is 801 Water Street, not Old Water Street","801 Water Street, Tampa, FL 33602"
"blog/digital-nomad-tampa-bay.md","Caffeine Roasters","Armenia Avenue","on_road","Caffeine Roasters on Armenia Avenue offers industrial vibes, strong coffee, and surprisingly good acoustics for video calls.","VERIFIED","At Kennedy Blvd and Armenia Ave, open and operating.",""
"blog/ev-charging-tampa-bay.md","Wawa","Fowler Avenue","on_road","Twelve Supercharger locations serve Tampa Bay, with the newest sites at:

- Brandon Town Center — 12 stalls, rarely full
- Wawa on Fowler Avenue — 8 stalls, convenient to USF
- St.","WRONG_ADDRESS","Wawa exists on Fowler (2901 E Fowler) but Supercharger at different Wawa: 2502 N 50th St (I-4/50th).","2502 N 50th St, Tampa, FL 33619"
"blog/find-dentist-tampa-bay.md","Bay Street Dental Group","South Howard Avenue","on_road","If you have MetLife or Humana, you'll have fewer options but still plenty of quality choices.

## Top-Rated Dental Practices by Area

### Tampa (Hyde Park, Westshore, Downtown)

Bay Street Dental Group on South Howard Avenue has been my family's go-to for eight years.","DOES_NOT_EXIST","No dental practice named Bay Street Dental Group found in Tampa or on South Howard Avenue.",""
"blog/find-dentist-tampa-bay.md","Pete","Central Avenue","on_road","Pete on Central Avenue has three locations and accepts virtually every insurance plan.","UNKNOWN","Pete's Place is Tampa recovery home, centrally located but not specifically on Central Avenue. Three locations/insurance claim unclear.",""
"blog/find-dentist-tampa-bay.md","Valrico

Brandon Dental Center","Bloomingdale Avenue","on_road","Good sign for how they'll treat you.

### Brandon/Valrico

Brandon Dental Center on Bloomingdale Avenue handles high volume without feeling rushed.","DOES_NOT_EXIST","No business named Brandon Dental Center found on Bloomingdale Ave. Multiple other dental practices exist there.",""
"blog/first-30-days-new-florida-home.md","Hillsborough County DMV","Falkenburg Road","on_road","Don't wait until day 29 — the Hillsborough County DMV on Falkenburg Road can have 2-hour waits even with appointments.","VERIFIED","DMV at 3030 N Falkenburg Rd (Brandon area) confirmed open, appointments available.",""
"blog/florida-flip-flop-culture.md","I've","Bayshore Boulevard","on_road","After 23+ years here, I've watched transplants fumble through their first Florida footwear decisions like tourists trying to parallel park on Bayshore Boulevard during Gasparilla.","SKIP","I've is not a business name; it's a pronoun.",""
"blog/florida-flip-flop-culture.md","Just","Westshore Boulevard","on_road","Just ask anyone working the towers on Westshore Boulevard.

### The Danger Zone: Closed-Toe Everything Else

Wearing traditional dress shoes with socks in July isn't just uncomfortable — it's a rookie move that screams ""I just moved here from Ohio."" The humidity will turn your feet into personal swamps, and everyone will know you haven't figured out Florida yet.


## Navigating Tampa Bay's Dress C","SKIP","Place name is 'Just' - not a valid business name, just an article/word in a sentence.",""
"blog/florida-medicaid-insurance-guide.md","Tampa's","Howard Avenue","on_road","Moving to Florida means navigating a new healthcare landscape — and frankly, it's more confusing than Tampa's downtown street grid after a few drinks on Howard Avenue.","SKIP","Not a specific business name—refers generically to bars/drinking on Howard Avenue.",""
"blog/florida-notary-guide.md","The Brandon Town Center","Westshore Boulevard","on_road","The Brandon Town Center branch and the one on Westshore Boulevard are usually well-staffed.","WRONG_ADDRESS","Brandon Town Center located at 459 Brandon Town Center Dr, Brandon FL, not on Westshore Boulevard.","459 Brandon Town Center Dr, Brandon, FL 33511"
"blog/florida-road-rage-humor.md","Reserved","Gandy Boulevard","on_road","Reserved for special occasions like: cutting off a lifted truck on Gandy Boulevard, taking someone's parking spot at Hyde Park Village during Art to Art, or heaven forbid — not waving when someone lets you merge.","SKIP","Not a business claim; satirical content about Tampa driving behavior",""
"blog/florida-road-rage-humor.md","Target","Brandon Boulevard","off_road","You'll recognize this sound in the Target parking lot off Brandon Boulevard.

## The Turn Signal Controversy

Let's address the elephant in the room: turn signals in Florida are apparently optional equipment.","WRONG_ADDRESS","Target exists in Brandon but at 187 Brandon Town Center Drive, not Brandon Boulevard.","187 Brandon Town Center Drive, Brandon, FL 33511"
"blog/florida-state-fair-guide.md","The Florida State Fair","4800 US Highway","at_address","The Florida State Fair draws 500,000+ people annually to the fairgrounds at 4800 US Highway 301 North.","WRONG_ADDRESS","Address incomplete. Full address is 4800 US Highway 301 North, Tampa, FL 33610.","4800 US Highway 301 North, Tampa, FL 33610"
"blog/free-things-tampa-bay.md","Safety Harbor
Hillsborough County's","2525 Philippe Parkway","at_address","Bird watchers love this spot — expect to see ospreys, herons, and if you're lucky, manatees in the shallow waters.

### Philippe Park, Safety Harbor
Hillsborough County's hidden beach gem sits at 2525 Philippe Parkway.","WRONG_ADDRESS","Philippe Park is in Pinellas County, not Hillsborough County. Address is correct.","Pinellas County"
"blog/free-things-tampa-bay.md","Upper Tampa Bay Regional Park
This","8001 Double Branch Road","at_address","During cooler months, you'll see everything from power walkers to yoga classes happening on the grass areas.


### Upper Tampa Bay Regional Park
This 2,144-acre park at 8001 Double Branch Road offers 15+ miles of hiking trails through pine flatwoods, oak hammocks, and wetlands.","VERIFIED","Park exists at 8001 Double Branch Road, open. Official name is Upper Tampa Bay Conservation Park.",""
"blog/free-things-tampa-bay.md","New Tampa
Located","14302 Morris Bridge Road","at_address","It's where Tampa Bay locals go when they want nature without the tourist buses.

### Flatwoods Park, Tampa/New Tampa
Located at 14302 Morris Bridge Road, this 5,000-acre park offers paved trails perfect for biking, walking, or jogging.","VERIFIED","Official county site confirms Flatwoods Park at 14302 Morris Bridge Road, open, paved trails, nature park.",""
"blog/free-things-tampa-bay.md","New Tampa","14302 Morris Bridge Road","located_at","It's where Tampa Bay locals go when they want nature without the tourist buses.

### Flatwoods Park, Tampa/New Tampa
Located at 14302 Morris Bridge Road, this 5,000-acre park offers paved trails perfect for biking, walking, or jogging.","VERIFIED","Flatwoods Park confirmed at 14302 Morris Bridge Road, currently open, paved trails for biking/walking.",""
"blog/free-things-tampa-bay.md","Tampa
This","6920 East Fletcher Avenue","at_address","The park stays open sunrise to sunset year-round, and the tree cover provides relief during summer months when other outdoor activities become unbearable.

### Lettuce Lake Park, Tampa
This 240-acre park at 6920 East Fletcher Avenue offers elevated boardwalks through cypress swamps and hardwood hammocks.","VERIFIED","Lettuce Lake Park confirmed at 6920 East Fletcher Avenue, Tampa. Park is open and operational.",""
"blog/gasparilla-guide-tampa-bay.md","East","Brorein Street","on_road","Here's your play-by-play:

### The Official Route

Start: Bay to Bay Boulevard and Bayshore Boulevard
Path: North along Bayshore Boulevard
Turn: East on Brorein Street
Finish: Ashley Drive and Brorein Street

The parade typically begins around 2:00 PM and takes roughly 3-4 hours to complete, depending on crowd size and weather conditions.

### Best Viewing Spots

Hyde Park Area (Bay to Bay to Plan","SKIP","Source describes parade route, not a business. 'East' is a direction, not a place name.",""
"blog/lgbtq-friendly-neighborhoods-tampa-bay.md","You're","Florida Avenue","on_road","You're still walking distance to the action on Florida Avenue, but with more space and often better parking.","SKIP","Place name is 'You're' - not a business name, appears to be text fragment from context.",""
"blog/living-in-brooksville-guide.md","Historic Downtown District

Downtown Brooksville","Main Street","on_road","Many of the older neighborhoods were built around springs — natural focal points that created community centers long before anyone thought about HOAs or amenity packages.

## Neighborhoods: The Good, The Questionable, and The Hidden Gems

### Historic Downtown District

Downtown Brooksville covers roughly six blocks centered on Main Street, and it's undergone a genuine renaissance over the past de","VERIFIED","Historic Downtown Brooksville exists, centered on Main Street. Active district with businesses, organizations.",""
"blog/living-in-clearwater-beach-guide.md","The CVS","Mandalay Avenue","on_road","The CVS on Mandalay Avenue handles basic needs, but for serious shopping, you're crossing water.","WRONG_ADDRESS","CVS is at 467 Mandalay Ave in Clearwater Beach, FL, not Tampa.","467 Mandalay Ave, Clearwater Beach, FL 33767"
"blog/living-in-clearwater-beach-guide.md","Full-service","Gulf Boulevard","on_road","Postal Service: Full-service post office on Gulf Boulevard handles everything except large package pickup.","SKIP","Business name is generic descriptor 'Full-service' not actual business name",""
"blog/living-in-dade-city-guide.md","The Real Dade City Experience

Living","County Road","on_road","But if you want authentic small-town Florida with reasonable home prices and a 45-minute commute to downtown Tampa, keep reading.


## The Real Dade City Experience

Living here means knowing your neighbors' names, waiting behind a tractor on County Road 530, and having genuine debates about whether the Kumquat Festival or Pioneer Days is the better event.","SKIP","Not a specific business - article describing general living experience in Dade City, Florida",""
"blog/living-in-dover-seffner-guide.md","Local Shopping

Dover Plaza","McIntosh Road","on_road","But you'll find solid options and quick access to better shopping in neighboring areas.

### Local Shopping

Dover Plaza on McIntosh Road houses essentials: Publix, CVS, pizza joint, and local services.","DOES_NOT_EXIST","No Dover Plaza found on McIntosh Road. McIntosh Road exists in Dover, FL but no such shopping plaza identified.",""
"blog/living-in-downtown-st-petersburg-guide.md","Street","Central Avenue","on_road","Best for: Art lovers, cultural enthusiasts, people who want walkable nightlife
Watch out for: Street noise on Central Avenue, limited grocery options

### The Warehouse Arts District

Just south of Central Avenue, this area maintains more of its industrial character while embracing the arts scene.","SKIP","Input too generic - 'Street' is not a valid business name",""
"blog/living-in-downtown-st-petersburg-guide.md","The Residences","400 Central","at_address","New construction dominates here, with buildings like The Residences at 400 Central offering resort-style amenities but starting around $500,000 for a one-bedroom.","VERIFIED","Located at 400 Central Ave, downtown St. Petersburg. 46-story luxury condo tower with resort-style amenities.",""
"blog/living-in-downtown-st-petersburg-guide.md","The Standouts

The Mill","Central Avenue","on_road","Pete's restaurant scene has exploded, but like many trendy areas, quality varies wildly behind the Instagram-worthy facades.

### The Standouts

The Mill on Central Avenue serves exceptional New American cuisine without the pretension.","CLOSED","St. Pete location closed in 2023 due to construction damage. Only South Tampa location remains.",""
"blog/living-in-downtown-st-petersburg-guide.md","Many","Central Avenue","on_road","Many of the ""trendy"" spots on Central Avenue prioritize Instagram aesthetics over actual flavor — you'll learn to spot them quickly.

### Grocery and Daily Needs

This is downtown living's biggest weakness.","SKIP","Not a business name - just part of sentence describing trendy spots on Central Avenue",""
"blog/living-in-haines-city-davenport-guide.md","Publix","Cypress Parkway","on_road","The new Publix on Cypress Parkway in ChampionsGate is particularly nice.","WRONG_ADDRESS","Cypress Parkway Publix is in Poinciana/Kissimmee, not ChampionsGate","8301 Champions Gate Blvd, Champions Gate"
"blog/living-in-hyde-park-guide.md","Mediterranean","Bayshore Boulevard","on_road","I sold a 1925 Mediterranean revival on Bayshore Boulevard last year for $1.1 million — 3 bedrooms, 2.5 baths, chef's kitchen, pool, and 80 feet of bay frontage.","SKIP","Not a business - claim describes residential real estate sale of Mediterranean Revival house style",""
"blog/living-in-hyde-park-guide.md","Hyde Park's","Bayshore Boulevard","on_road","The buyers got a house worthy of Architectural Digest and a mortgage payment that made their accountant wince.

### Luxury Market ($1.5 Million+)

Hyde Park's top tier includes waterfront estates on Bayshore Boulevard and completely rebuilt modern homes disguised as historic architecture.","VERIFIED","Hyde Park neighborhood includes Bayshore Boulevard with waterfront estates, as stated in source.",""
"blog/living-in-hyde-park-guide.md","Hyde Park Veterinary Clinic","Swann Avenue","on_road","Hyde Park Veterinary Clinic on Swann Avenue has served the neighborhood for decades.

## Transportation Infrastructure

### Road Network

Hyde Park's street grid dates to the 1920s, creating charm and challenges.","VERIFIED","Located at 1111 W Swann Ave, Tampa. Founded 2002, currently operating.",""
"blog/living-in-lakeland-guide.md","Walmart Supercenter","South Florida Avenue","on_road","Walmart Supercenter on South Florida Avenue.","WRONG_ADDRESS","Walmart Supercenter on S Florida Ave exists but is in Lakeland, not Tampa Bay proper.","3501 S Florida Ave, Lakeland, FL 33803"
"blog/living-in-lakewood-ranch-guide.md","Upscale American","Main Street","on_road","For world-class museums, theater, and concerts, you'll head to Sarasota or Tampa.

## Dining and Shopping (The Good and The Gaps)

### Restaurant Scene

Lakewood Ranch dining has improved dramatically over the past five years:

Sage: Upscale American cuisine on Main Street, excellent for special occasions.","DOES_NOT_EXIST","No restaurant named Sage found on Main Street Lakewood Ranch in comprehensive searches of area dining.",""
"blog/living-in-new-port-richey-vs-port-richey-guide.md","Walmart Supercenter","Little Road","on_road","New Port Richey's hospital advantage can literally be life-saving.

## Shopping and Conveniences

### New Port Richey Shopping

Major Retailers:
- Walmart Supercenter on Little Road
- Multiple Publix locations
- CVS, Walgreens throughout the city
- Various strip malls and plazas

Dining Variety: 60+ restaurants ranging from chain favorites to local gems.","WRONG_ADDRESS","Walmart on Little Road is a Neighborhood Market, not a Supercenter. Supercenter is at 8745 State Road 54.","8745 State Road 54, New Port Richey, FL 34655"
"blog/living-in-nokomis-osprey-guide.md","Osprey","Tamiami Trail","on_road","Let me walk you through what life is really like here — the good, the expensive, and the occasional frustrating reality of living in paradise.


## The Real Nokomis / Osprey Story

Nokomis and Osprey function as one community split by an invisible line on Tamiami Trail.","VERIFIED","Osprey is a real community on Tamiami Trail (US-41) in Sarasota County, Florida.",""
"blog/living-in-nokomis-osprey-guide.md","Popular","Bay Road","off_road","Popular areas include sections off Bay Road and South Creek.","SKIP","Input appears to be a description of popular areas, not a specific business name.",""
"blog/living-in-palm-harbor-guide.md","Walmart Neighborhood Market","Tampa Road","on_road","Pro tip: Shop at the Walmart Neighborhood Market on Tampa Road for basics, but hit up Fresh Market for the good stuff when you're entertaining.

## Schools: Why Families Choose Palm Harbor

### Top-Rated Public Schools

Palm Harbor University High School consistently ranks among Florida's best public high schools.","WRONG_ADDRESS","Real store, open, but at 3400 E Lake Rd, not Tampa Road","3400 E Lake Rd, Palm Harbor, FL 34685"
"blog/living-in-palm-harbor-guide.md","Mama's Real Italian","Tampa Road","on_road","Mama's Real Italian on Tampa Road offers authentic family recipes in a strip mall setting.","DOES_NOT_EXIST","No business named 'Mama's Real Italian' found on Tampa Road or elsewhere in Tampa Bay area.",""
"blog/living-in-palma-ceia-guide.md","Buddy Brew Coffee","South Howard Avenue","on_road","Done right, these renovations often increase property values by more than their cost, making them solid investments.

## Daily Life in Palma Ceia

Living here means your morning coffee run might take you to Buddy Brew Coffee on South Howard Avenue, just a few minutes' drive away.","WRONG_ADDRESS","Buddy Brew exists in Hyde Park but at 1605 W Snow Ave, not South Howard Avenue.","1605 W Snow Ave, Tampa, FL 33606"
